Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault
Leesburg Police Dept,VA,12,46951,76,1,,20,7,48
Loudoun County Sheriff Office,VA,12,,216,4,,62,37,113
Louisa County Sheriff Office,VA,12,,42,0,,14,3,25
Lynchburg Police Dept,VA,12,77757,331,1,,36,73,221
Manassas Police Dept,VA,12,41512,122,0,,23,38,61
Manassas Park Police Dept,VA,12,16332,16,1,,6,3,6
Martinsville Police Dept,VA,12,13771,56,0,,2,20,34
Montgomery County Sheriff Office,VA,12,,34,0,,9,1,24
Newport News Police Dept,VA,12,181074,796,15,,57,246,478
Norfolk Police Dept,VA,12,247303,1432,29,,140,416,847
Orange County Sheriff Office,VA,12,,10,0,,5,3,2
Petersburg Police Dept,VA,12,31847,165,7,,11,56,91
Pittsylvania County Sheriff Office,VA,12,,48,0,,18,4,26
Poquoson Police Dept,VA,12,12108,17,0,,2,0,15
Portsmouth Police Dept,VA,12,97018,594,12,,49,176,357
Powhatan County Sheriff Office,VA,12,,19,0,,5,1,13
Prince George County Police Department,VA,12,,42,0,,10,9,23
Prince William County Police Department,VA,12,,689,6,,75,244,364
Radford Police Dept,VA,12,16810,89,0,,11,7,71
Richmond (City) Bureau Of Police,VA,12,212830,1325,37,,44,626,618
Roanoke (City) Police Dept,VA,12,97927,459,9,,45,143,262
Roanoke County Police Department,VA,12,,116,0,,28,10,78
Rockingham County Sheriff Department,VA,12,,54,0,,15,1,38
Salem Police Dept,VA,12,25066,24,2,,3,12,7
Shenandoah,VA,12,,30,1,,8,4,17
Spotsylvania County Sheriff Office,VA,12,,248,6,,35,49,158
Stafford County Sheriff Office,VA,12,,177,4,,39,28,106
Staunton Police Dept,VA,12,24007,50,1,,15,5,29
Suffolk Police Dept,VA,12,85475,272,7,,39,64,162
Tazewell County Sheriff Office,VA,12,,27,0,,9,0,18
Vienna Police Dept,VA,12,16335,9,0,,0,2,7
Virginia Beach Police Dept,VA,12,450687,738,17,,147,305,269
Washington County Sheriff Office,VA,12,,53,2,,23,3,25
Waynesboro Police Dept,VA,12,21175,46,0,,15,8,23
Williamsburg Police Dept,VA,12,15565,25,1,,5,6,13
Winchester Police Dept,VA,12,27163,90,1,,26,29,34
Wise County Sheriff Office,VA,12,,47,0,,22,6,19
York County Sheriff Office,VA,12,,83,1,,27,11,44
Addison Police Dept,IL,12,37378,40,1,8,,5,26
Algonquin Police Dept,IL,12,29980,18,0,3,,2,13
Alsip Police Dept,IL,12,19461,42,0,9,,16,17
Alton Police Dept,IL,12,27277,117,1,11,,34,71
Antioch Police Dept,IL,12,14393,16,1,4,,1,10
Arlington Heights Police Dept,IL,12,75978,42,0,7,,7,28
Aurora Police Dept,IL,12,200551,601,4,53,,119,425
Barrington Police Dept,IL,12,10356,2,0,2,,0,0
Bartlett Police Dept,IL,12,41733,18,1,1,,5,11
Batavia Police Dept,IL,12,26401,20,0,0,,1,19
Belleville Police Dept,IL,12,43527,226,1,40,,65,120
Bellwood Police Dept,IL,12,19155,132,3,4,,42,83
Belvidere Police Dept,IL,12,25308,29,3,5,,3,18
Bensenville Police Dept,IL,12,18534,25,0,7,,5,13
Berwyn Police Dept,IL,12,56838,117,2,6,,61,48
Bloomingdale Police Dept,IL,12,22301,10,0,1,,5,4
Bloomington Police Dept,IL,12,78060,399,2,57,,59,281
Blue Island Police Dept,IL,12,23846,108,0,6,,57,45
Bolingbrook Police Dept,IL,12,74224,174,1,17,,38,118
Boone County Sheriff Department,IL,12,,25,0,12,,3,10
Bourbonnais Police Dept,IL,12,18623,36,0,10,,2,24
Bradley Police Dept,IL,12,15860,26,0,2,,4,20
Bridgeview Police Dept,IL,12,16541,30,0,2,,11,17
Brookfield Police Dept,IL,12,19050,17,0,4,,5,8
Buffalo Grove Police Dept,IL,12,41774,8,0,0,,1,7
Burbank Police Dept,IL,12,29183,81,2,3,,20,56
Burr Ridge Police Dept,IL,12,10737,2,1,0,,1,0
Cahokia Police Dept,IL,12,14819,65,1,7,,19,38
Canton Police Dept,IL,12,14461,29,0,9,,1,19
Carbondale Police Dept,IL,12,26248,244,2,14,,41,187
Carol Stream Police Dept,IL,12,40376,29,0,3,,7,19
Carpentersville Police Dept,IL,12,38342,26,0,2,,17,7
Cary Police Dept,IL,12,18090,11,0,1,,4,6
Centralia Police Dept,IL,12,12805,67,0,9,,7,51
Champaign County Sheriff Office,IL,12,,103,1,18,,11,73
Champaign Police Dept,IL,12,82966,654,4,39,,119,492
Channahon Police Dept,IL,12,12604,0,0,0,,0,0
Charleston Police Dept,IL,12,21926,22,0,3,,2,17
Chatham Police Dept,IL,12,12046,10,0,1,,1,8
Chicago Police Dept,IL,12,2720554,,416,,,11826,12108
Chicago Heights Police Dept,IL,12,30424,261,2,21,,131,107
Chicago Ridge Police Dept,IL,12,14463,22,0,4,,10,8
Cicero Police Dept,IL,12,84204,346,3,14,,162,167
Collinsville Police Dept,IL,12,25135,33,0,5,,6,22
Columbia Police Dept,IL,12,9960,10,1,2,,2,5
Cook County Sheriff Department,IL,12,,187,0,23,,39,125
Country Club Hills Police Dept,IL,12,16954,44,1,7,,26,10
Crest Hill Police Dept,IL,12,20865,26,1,5,,12,8
Crestwood Police Dept,IL,7,11037,6,0,1,,1,4
Crystal Lake Police Dept,IL,12,40383,47,0,7,,7,33
Danville Police Dept,IL,12,32532,396,4,44,,81,267
Darien Police Dept,IL,12,22365,12,0,3,,3,6
Dekalb Police Dept,IL,12,43765,204,2,32,,28,142
Decatur Police Dept,IL,12,75190,351,5,9,,84,253
Deerfield Police Dept,IL,12,18283,2,0,0,,1,1
Des Plaines Police Dept,IL,12,58975,56,2,7,,12,35
Dixon Police Dept,IL,12,15304,13,0,9,,0,4
Dolton Police Dept,IL,12,23309,166,0,3,,123,40
Downers Grove Police Dept,IL,12,49558,26,1,2,,7,16
Dupage County Sheriff Department,IL,12,,48,4,3,,11,30
East Moline Police,IL,12,21430,63,0,4,,6,53
East Peoria Police Dept,IL,12,23458,85,0,20,,6,59
East St Louis Police Dept,IL,12,26616,1309,25,71,,249,964
Edwardsville Police Dept,IL,12,24511,15,0,1,,3,11
Effingham Police Dept,IL,12,12633,24,1,2,,2,19
Elgin Police Dept,IL,12,110454,236,3,56,,63,114
Elk Grove Village Police Dept,IL,12,33414,25,0,4,,7,14
Elmhurst Police Dept,IL,12,45501,12,0,2,,4,6
Elmwood Park Police Dept,IL,12,24998,29,0,0,,11,18
Evanston Police Dept,IL,12,75709,185,4,10,,61,110
Evergreen Park Police Dept,IL,12,19951,28,0,0,,20,8
Fairview Heights Police Dept,IL,12,16960,35,0,5,,10,20
Forest Park Police Dept,IL,12,14233,42,0,0,,17,25
Fox Lake Police Dept,IL,12,10537,14,0,3,,1,10
Frankfort Police Dept,IL,12,18115,9,0,2,,1,6
Franklin Park Police Dept,IL,12,18417,21,0,7,,3,11
Freeport Police Dept,IL,6,25043,19,2,3,,2,12
Galesburg Police Dept,IL,12,31602,125,2,25,,11,87
Geneva Police Dept,IL,12,21790,5,0,1,,1,3
Glen Carbon Police Dept,IL,12,12916,11,0,2,,0,9
Glen Ellyn Police Dept,IL,12,27736,10,1,5,,3,1
Glendale Heights Police Dept,IL,12,34630,40,0,16,,8,16
Glenview Police Dept,IL,12,45125,22,0,3,,5,14
Godfrey,IL,12,17894,12,0,1,,0,11
Granite City Police Dept,IL,12,29447,174,4,15,,32,123
Grayslake Police Dept,IL,12,21142,28,0,10,,10,8
Gurnee Police Dept,IL,12,31253,38,0,9,,20,9
Hanover Park Police Dept,IL,12,38499,37,0,4,,4,29
Harvey Police Dept,IL,12,25408,407,10,10,,273,114
Hazel Crest Police Dept,IL,12,14208,56,0,6,,40,10
Herrin Police Dept,IL,12,12751,1,0,0,,1,0
Hickory Hills Police Dept,IL,12,14172,10,0,3,,0,7
City Of Highland Park Police Dept,IL,12,29939,24,0,5,,3,16
Hinsdale Police Dept,IL,12,17222,2,0,1,,0,1
Hoffman Estates,IL,12,52422,55,0,16,,21,18
Homewood Police Dept,IL,12,19445,45,1,1,,32,11
Huntley Police Dept,IL,12,24978,4,0,0,,0,4
Jacksonville Police Dept,IL,12,19256,39,1,9,,2,27
Joliet,IL,12,148462,557,10,49,,158,340
Justice Police Dept,IL,12,13055,10,0,0,,3,7
Kane County Sheriff Department,IL,12,,45,0,5,,3,37
Kankakee County Sheriff Department,IL,12,,64,2,14,,4,44
Kankakee Police Dept,IL,12,27286,196,4,23,,70,99
Kendall County Sheriff Department,IL,12,,27,0,7,,0,20
Kewanee Police Dept,IL,12,12739,30,0,11,,0,19
La Grange Police Dept,IL,12,15718,15,0,3,,8,4
Village Of La Grange Park Police Dept,IL,12,13650,1,0,0,,0,1
La Salle County Sheriff Department,IL,12,,27,0,8,,2,17
Lake County Sheriff Department,IL,12,,79,1,21,,17,40
Lake Forest Police Dept,IL,12,19335,8,0,0,,0,8
Lake In The Hills Police Dept,IL,12,29133,15,0,4,,0,11
Lake Zurich Police Dept,IL,12,19999,3,0,0,,1,2
Lansing Police Dept,IL,12,28520,109,0,16,,57,36
Lemont Police Dept,IL,12,16460,13,0,1,,2,10
Libertyville Police Dept,IL,12,20368,6,1,0,,0,5
Lincoln Police Dept,IL,12,14265,50,0,12,,6,32
Lincolnwood Police Dept,IL,12,12675,10,0,0,,4,6
Lindenhurst Police Dept,IL,12,14470,4,1,3,,0,0
Lisle Police Dept,IL,12,22717,13,0,4,,4,5
Lockport Police Dept,IL,12,25100,23,0,4,,5,14
Lombard Police Dept,IL,12,43883,42,0,3,,17,22
Loves Park Police Dept,IL,12,23742,84,0,18,,8,58
Lyons Police Dept,IL,12,10781,15,0,3,,6,6
Machesney Park,IL,12,23211,58,0,15,,2,41
Macomb Police Dept,IL,12,19246,55,0,13,,3,39
Madison County Sheriff Department,IL,12,,68,1,2,,6,59
Marion Police Dept,IL,12,17349,7,0,0,,7,0
Matteson Police Dept,IL,12,19188,73,0,8,,44,21
Mattoon Police Dept,IL,12,18297,41,1,8,,4,28
Maywood Police Dept,IL,12,24184,207,6,18,,90,93
Mchenry City Police Dept,IL,12,26761,37,0,7,,6,24
Mchenry County Sheriff Department,IL,12,,64,0,17,,4,43
Village Of Melrose Park Police Dept,IL,12,25559,43,1,8,,13,21
Midlothian Police Dept,IL,12,14918,40,0,4,,20,16
Minooka Police Dept,IL,12,11149,4,0,0,,1,3
Mokena Police Dept,IL,12,19130,10,0,0,,5,5
Moline Police Dept,IL,12,43172,121,0,8,,13,100
Montgomery Police Dept,IL,12,19259,18,0,6,,0,12
Morris Police Dept,IL,12,13882,19,0,4,,4,11
Morton Police Dept,IL,12,16462,18,0,0,,1,17
Morton Grove Police Dept,IL,12,23516,31,0,3,,7,21
Mount Prospect Police Dept,IL,12,54600,21,1,1,,11,8
Mount Vernon Police Dept,IL,12,15203,217,0,20,,37,160
Mundelein Police Dept,IL,12,31291,16,0,6,,2,8
Naperville Police Dept,IL,12,144221,105,0,7,,21,77
New Lenox Police Dept,IL,12,24805,21,0,4,,0,17
Niles Police Dept,IL,12,30008,35,0,1,,8,26
Normal Town Police Dept,IL,12,54241,115,1,12,,29,73
Norridge Police Dept,IL,12,14676,19,0,0,,16,3
North Aurora Police Dept,IL,12,17095,21,0,3,,4,14
North Chicago Police Dept,IL,12,28780,146,2,7,,53,84
Northbrook Police Dept,IL,12,33567,8,0,5,,1,2
Northlake Police Dept,IL,12,12382,10,0,0,,3,7
Ofallon Police Dept,IL,12,29388,34,0,6,,4,24
Oak Forest Police Dept,IL,12,28211,37,1,5,,15,16
Oak Lawn Police Dept,IL,12,57083,81,1,6,,30,44
Oak Park Police Dept,IL,12,52051,126,0,3,,86,37
Ogle County Sheriff Department,IL,12,,12,0,1,,1,10
Orland Park Police Dept,IL,12,57578,17,0,5,,3,9
Oswego Police Dept,IL,12,32057,18,0,10,,3,5
Ottawa Police Dept,IL,12,18507,13,0,0,,5,8
Palatine Police Dept,IL,12,69317,33,0,8,,12,13
Palos Heights Police Dept,IL,12,12611,6,0,0,,2,4
Palos Hills Police Dept,IL,12,17646,13,0,0,,3,10
Park Forest Police Dept,IL,12,22052,97,1,11,,49,36
Park Ridge Police Dept,IL,12,37788,15,0,1,,6,8
Pekin Police Dept,IL,12,34085,111,4,14,,9,84
Peoria County Sheriff Department,IL,12,,92,0,12,,12,68
Peoria Police Dept,IL,12,115953,784,16,24,,275,469
Peru City Police Dept,IL,12,10155,13,0,5,,1,7
Plainfield Police Dept,IL,12,40639,20,1,1,,5,13
Plano Police Dept,IL,12,11104,2,0,0,,1,1
Pontiac Police Dept,IL,12,11802,51,4,5,,8,34
Prospect Heights Police Dept,IL,12,16399,27,0,6,,5,16
Quincy Police Dept,IL,12,40841,188,1,27,,18,142
Rantoul Police Dept,IL,12,12933,106,0,17,,10,79
Richton Park Police Dept,IL,12,13768,42,0,4,,19,19
River Forest Police Dept,IL,12,11229,15,0,1,,5,9
River Grove Police Dept,IL,12,10287,5,1,0,,0,4
Riverdale Police Dept,IL,12,13625,183,1,10,,119,53
Rock Island Police Dept,IL,12,38893,200,5,2,,32,161
Rockford Police Dept,IL,12,150209,2077,19,,146,396,1516
Rolling Meadows Police Dept,IL,12,24283,23,0,6,,6,11
Romeoville Police Dept,IL,12,39778,30,1,3,,10,16
Roscoe Police Dept,IL,12,10700,11,0,0,,0,11
Roselle Police Dept,IL,12,23047,10,0,3,,2,5
Round Lake Police Dept,IL,12,18496,27,0,4,,7,16
Round Lake Beach Police Dept,IL,12,28087,37,1,6,,5,25
Sangamon County Sheriff Department,IL,12,,138,0,24,,16,98
Sauk Village Police Dept,IL,12,10574,72,2,8,,21,41
Schaumburg Police Dept,IL,12,74940,71,0,15,,30,26
Schiller Park Police Dept,IL,12,11876,9,0,6,,0,3
Shiloh Police Dept,IL,12,13212,25,0,5,,7,13
Shorewood Police Dept,IL,12,16387,18,0,4,,1,13
Skokie Police Dept,IL,12,65155,157,0,9,,58,90
South Elgin Police Dept,IL,12,22295,30,1,3,,6,20
South Holland Police Dept,IL,12,22178,55,0,5,,39,11
Springfield Police Dept,IL,12,117351,1192,4,71,,287,830
St. Charles Police Dept,IL,12,33433,19,0,0,,2,17
St. Clair County Sheriff Department,IL,12,,73,1,15,,25,32
Sterling Police Dept,IL,12,15183,25,0,9,,2,14
Streamwood Police Dept,IL,12,40340,41,1,5,,11,24
Streator Police Dept,IL,12,13514,20,0,0,,0,20
Summit-Argo Police Dept,IL,12,11579,40,0,1,,19,20
Swansea Police Dept,IL,12,13821,28,1,4,,16,7
Sycamore Police Dept,IL,12,17469,11,0,1,,2,8
Taylorville Police Dept,IL,12,11158,25,0,12,,1,12
Tazewell County Sheriff Department,IL,12,,29,0,0,,2,27
Tinley Park Police Dept,IL,12,57270,46,1,15,,10,20
Troy City Police Dept,IL,12,9960,14,1,1,,0,12
Urbana Police Dept,IL,12,41598,141,2,27,,66,46
Vernon Hills Police Dept,IL,12,25860,14,0,2,,2,10
Village Of Villa Park Police Dept,IL,12,22095,27,0,5,,13,9
Warrenville Police Dept,IL,12,13353,5,0,3,,0,2
Washington City Police Dept,IL,12,15488,24,0,0,,5,19
Waterloo Police Dept,IL,2,9987,0,0,0,,0,0
Wauconda Police Dept,IL,12,13792,4,0,0,,0,4
Waukegan Police Dept,IL,12,88763,405,3,31,,172,199
West Chicago Police Dept,IL,12,27659,33,2,8,,7,16
Westchester Police Dept,IL,12,16812,14,0,2,,7,5
Western Springs Police Dept,IL,12,13144,0,0,0,,0,0
Westmont Police Dept,IL,12,24965,26,1,4,,8,13
Wheaton Police Dept,IL,12,53614,32,0,4,,7,21
Wheeling Police Dept,IL,12,38027,40,1,9,,3,27
Will County Sheriff Department,IL,12,,152,2,16,,29,105
Wilmette Police Dept,IL,12,27356,7,0,1,,4,2
Winnebago County Sheriff Office,IL,12,,122,3,14,,13,92
Winnetka Police Dept,IL,12,12425,7,0,0,,1,6
Wood Dale Police Dept,IL,12,13953,9,0,1,,4,4
Wood River Police Dept,IL,12,10442,31,0,6,,6,19
Woodridge Police Dept,IL,12,33403,24,0,10,,8,6
Woodstock Police Dept,IL,12,25164,17,1,8,,1,7
Worth Police Dept,IL,12,10859,8,0,1,,3,4
Yorkville Police Dept,IL,12,17657,12,0,8,,0,4
Zion Police Dept,IL,12,24338,146,5,19,,34,88
Alachua County Sheriff Department,FL,12,,534,3,,45,75,411
Altamonte Springs Police Dept,FL,12,42040,150,0,,8,37,105
Apopka Police Dept,FL,12,45397,178,1,,11,57,109
Atlantic Beach Police Dept,FL,12,12933,61,0,,6,13,42
Auburndale Police Dept,FL,12,14048,55,0,,13,12,30
Aventura,FL,12,37357,56,0,,2,27,27
Baker County Sheriff Department,FL,12,,94,0,,0,4,90
Bartow Police Dept,FL,12,17781,93,1,,5,16,71
Bay County Sheriff Department,FL,12,,329,4,,47,52,226
Belle Glade Police Dept,FL,12,17925,348,5,,19,52,272
Boca Raton Police Dept,FL,12,88749,165,4,,8,54,99
Boynton Beach Police Dept,FL,12,70692,367,8,,8,100,251
Bradenton Police Dept,FL,12,51023,351,9,,17,115,210
Brevard County Sheriff Department,FL,12,,893,3,,116,119,655
Broward County Sheriff Department,FL,12,,272,4,,19,74,175
Cape Coral Police Dept,FL,12,163461,197,3,,7,40,147
Casselberry Police Dept,FL,12,26518,151,0,,13,35,103
Charlotte County Sheriff Department,FL,12,,369,1,,37,33,298
Citrus County Sheriff Department,FL,12,,528,5,,45,65,413
Clay County Sheriff Department,FL,12,,564,2,,54,77,431
Clearwater Police Dept,FL,12,108908,618,4,,50,177,387
Clermont Police Dept,FL,12,29620,84,0,,5,11,68
Cocoa Police Dept,FL,12,17238,321,3,,26,65,227
Cocoa Beach Police Dept,FL,12,11268,83,1,,5,13,64
Coconut Creek Dept Of Public Safety,FL,12,55659,80,0,,10,26,44
Collier County Sheriff Department,FL,12,,741,12,,73,107,549
Columbia County Sheriff Department,FL,12,,280,4,,9,16,251
Cooper City Police Dept,FL,12,33706,50,0,,3,11,36
Coral Gables Police Dept,FL,12,50250,84,0,,3,39,42
Coral Springs Police Dept,FL,12,126608,237,0,,24,99,114
Crestview Police Dept,FL,12,22818,180,0,,39,44,97
Davie Police Dept,FL,12,96581,306,1,,26,93,186
Daytona Beach Police Dept,FL,12,62381,799,4,,57,195,543
Deland Police Dept,FL,12,27575,149,4,,3,44,98
Delray Beach Police Dept,FL,12,62887,487,0,,29,147,311
De Soto County Sheriff Department,FL,12,,103,0,,4,12,87
Edgewater Police Dept,FL,12,20820,21,1,,0,3,17
Escambia County Sheriff Department,FL,12,,1786,23,,135,370,1258
Eustis Police Dept,FL,12,19001,52,0,,2,9,41
Fernandina Beach Police Dept,FL,12,11770,36,0,,3,7,26
Flagler County Sheriff Department,FL,12,,210,3,,20,43,144
Florida City Police Dept,FL,12,12132,345,1,,2,137,205
Fort Lauderdale Police Dept,FL,12,172398,1456,13,,73,701,669
Fort Myers Police Dept,FL,12,66835,752,10,,45,185,512
Fort Pierce Police Dept,FL,12,42866,588,7,,29,113,439
Fort Walton Beach Police Dept,FL,12,20568,56,2,,3,14,37
Gadsen County Sheriff Department,FL,12,,108,2,,6,10,90
Gainesville Police Dept,FL,12,126589,806,6,,62,155,583
Green Acres Police Dept,FL,12,38735,184,2,,7,65,110
Gulfport Police Dept,FL,12,12081,48,0,,4,17,27
Haines City Police Dept,FL,12,21154,64,1,,6,12,45
Hallandale Police Dept,FL,12,38710,279,6,,17,91,165
Hendry County Sheriff Department,FL,12,,219,2,,13,17,187
Hernando County Sheriff Department,FL,12,,468,9,,45,57,357
Hialeah Police Dept,FL,12,234182,774,13,,41,231,489
Hialeah Gardens Police Dept,FL,12,22728,42,0,,1,13,28
Highlands County Sheriff Department,FL,12,,283,2,,19,41,221
Hillsborough County Sheriff Department,FL,12,,1990,33,,165,472,1320
Holly Hill Police Dept,FL,12,11619,80,0,,7,25,48
Hollywood Police Dept,FL,12,146643,720,16,,63,253,388
Homestead Police Dept,FL,12,64024,917,2,,32,342,541
Indian River County Sheriff Department,FL,12,,307,2,,24,29,252
Jackson County Sheriff Department,FL,12,,112,1,,12,6,93
Jacksonville,FL,12,845745,5246,93,,452,1424,3277
Jacksonville Beach Police Dept,FL,12,21783,113,0,,21,24,68
Jupiter Police Dept,FL,12,57826,127,0,,7,36,84
Village Of Key Biscayne Police Dept,FL,12,12891,4,0,,0,0,4
Key West Police Dept,FL,12,25185,179,0,,20,37,122
Kissimmee Police Dept,FL,12,64617,542,3,,36,132,371
Lady Lake Town Police Dept,FL,12,14148,23,0,,0,6,17
Lake County Sheriff Department,FL,12,,424,1,,64,39,320
Lake City Police Dept,FL,12,12115,188,3,,2,29,154
Lake Mary Police Dept,FL,12,14836,17,0,,2,3,12
Lake Wales Police Dept,FL,12,14854,48,1,,3,15,29
Lake Worth Police Dept,FL,12,36055,459,4,,45,171,239
Lakeland Police Dept,FL,12,100725,460,7,,52,143,258
Lantana Police Dept,FL,12,10689,75,0,,6,26,43
Largo Police Dept,FL,12,77913,352,3,,47,94,208
Lee County Sheriff Department,FL,12,,1223,12,,94,351,766
Leesburg Police Dept,FL,12,20910,172,0,,8,31,133
Leon County Sheriff Department,FL,12,,398,3,,26,31,338
Lighthouse Point Police Dept,FL,12,10831,8,0,,1,1,6
Longwood Police Dept,FL,12,13781,69,0,,2,10,57
Lynn Haven Police Dept,FL,12,19112,63,0,,3,4,56
Maitland Police Dept,FL,12,16527,23,0,,1,5,17
Manatee County Sheriff Department,FL,12,,1467,3,,174,247,1043
Marco Island,FL,12,16942,4,0,,0,0,4
Margate Police Dept,FL,12,55576,123,1,,1,35,86
Marion County Sheriff Department,FL,12,,1093,11,,122,66,894
Martin County Sheriff Department,FL,12,,222,0,,14,50,158
Melbourne Police Dept,FL,12,77277,657,6,,61,136,454
Miami Police Dept,FL,12,418394,4945,71,,96,2216,2562
Miami Beach Police Dept,FL,12,91433,919,4,,53,377,485
Miami Lakes,FL,12,30713,30,0,,4,10,16
Miami Shores Police Dept,FL,12,10694,42,0,,2,30,10
Miami Springs Police Dept,FL,12,14361,31,0,,6,7,18
Metro-Dade Police Department,FL,12,,6057,87,,448,1861,3661
Miramar Police Dept,FL,12,130926,476,4,,37,162,273
Monroe County Sheriff Department,FL,12,,212,2,,15,15,180
Mount Dora Police Dept,FL,12,12795,55,1,,6,8,40
Naples City Police Dept,FL,12,20292,39,0,,9,7,23
Nassau County Sheriff Department,FL,12,,51,1,,2,6,42
New Port Richey Police Dept,FL,12,14944,115,1,,5,32,77
New Smyrna Beach Police Dept,FL,12,23007,104,0,,5,20,79
Niceville Police Dept,FL,12,13880,19,0,,0,2,17
North Lauderdale Dept Of Public Safety,FL,12,42839,209,1,,13,67,128
North Miami Police Dept,FL,12,61120,540,7,,30,234,269
North Miami Beach Police Dept,FL,12,43417,322,4,,24,152,142
North Palm Beach Dept Of Public Safety,FL,12,12352,14,0,,0,6,8
North Port Police Dept,FL,12,58699,108,0,,26,15,67
Oakland Park Police Dept,FL,12,43287,296,2,,17,112,165
Ocala Police Dept,FL,12,57144,332,6,,25,92,209
Ocoee Police Dept,FL,12,39201,162,2,,18,43,99
Okaloosa County Sheriff Department,FL,12,,575,2,,63,58,452
Okeechobee County Sheriff Department,FL,12,,128,3,,14,17,94
Opa-Locka Police Dept,FL,12,15848,495,11,,17,125,342
Orange County Sheriff Department,FL,12,,5244,49,,443,1416,3336
Orange City Police Dept,FL,12,10804,15,1,,0,2,12
Orlando Police Dept,FL,12,253238,2316,17,,126,573,1600
Ormond Beach Police Dept,FL,12,38442,132,0,,10,17,105
Osceola County Sheriff Department,FL,12,,725,2,,49,74,600
Oviedo Police Dept,FL,12,35889,57,0,,8,6,43
Palatka Police Dept,FL,12,10446,87,0,,6,26,55
Palm Bay Police Dept,FL,12,104391,451,3,,21,43,384
Palm Beach County Sheriff Department,FL,12,,2021,25,,213,494,1289
Palm Beach Gardens Police Dept,FL,12,50333,70,0,,6,27,37
Palm Springs Dept Of Public Safety,FL,12,20489,143,0,,5,36,102
Palmetto Police Dept,FL,12,12911,125,1,,15,22,87
Palmetto Bay,FL,12,24418,38,2,,2,15,19
Panama City Police Dept,FL,12,36358,322,3,,10,65,244
Panama City Beach Police Dept,FL,12,11890,99,0,,19,32,48
Parkland Public Safety Dept,FL,12,26264,22,0,,3,3,16
Pasco County Sheriff Department,FL,12,,1141,20,,122,197,802
Pembroke Pines Police Dept,FL,12,162064,275,0,,11,87,177
Pensacola Police Dept,FL,12,52454,389,3,,27,69,290
Pinellas County Sheriff Department,FL,12,,1016,6,,123,140,747
Pinellas Park Police Dept,FL,12,49884,252,1,,21,53,177
Plant City Police Dept,FL,12,36278,185,2,,7,36,140
Plantation Police Dept,FL,12,88929,311,2,,17,124,168
Polk County Sheriff Department,FL,12,,1326,8,,73,147,1098
Pompano Beach Police Dept,FL,12,103971,819,7,,64,273,475
City Of Port Orange Police Dept,FL,12,56850,51,1,,0,7,43
City Of Port St Lucie Police Dept,FL,12,169877,303,1,,21,40,241
Punta Gorda Police Dept,FL,12,16942,21,0,,2,2,17
Putnam County Sheriff Department,FL,12,,327,2,,13,31,281
Riviera Beach Police Dept,FL,12,33326,340,6,,9,59,266
Rockledge Police Dept,FL,12,25558,63,0,,15,8,40
Royal Palm Beach Police Dept,FL,12,35478,116,0,,12,39,65
Sanford Police Dept,FL,12,54972,447,5,,36,132,274
Santa Rosa County Sheriff Department,FL,12,,171,3,,27,13,128
Sarasota County Sheriff Department,FL,12,,561,3,,26,91,441
Sarasota Police Dept,FL,12,53046,413,4,,31,151,227
Satellite Beach Police Dept,FL,12,10290,34,0,,0,2,32
Sebastian Police Dept,FL,12,22502,55,1,,7,5,42
Sebring Police Dept,FL,12,10318,57,2,,2,9,44
Seminole County Sheriff Department,FL,12,,578,1,,42,58,477
Seminole,FL,12,17283,43,0,,2,8,33
South Daytona Police Dept,FL,12,12231,39,2,,0,7,30
South Miami Police Dept,FL,12,12142,93,1,,2,40,50
St. Augustine Police Dept,FL,12,13536,99,0,,6,19,74
St. Cloud Police Dept,FL,12,40213,139,2,,9,18,110
St. John County Sheriff Department,FL,12,856,428,2,,9,34,383
St. Lucie County Sheriff Department,FL,12,,298,7,,18,20,253
St. Petersburg Police Dept,FL,12,247084,2379,15,,155,634,1575
Stuart Police Dept,FL,12,15920,54,0,,5,11,38
Sumter County Sheriff Department,FL,12,,128,1,,13,11,103
Sunny Isles Beach,FL,12,21735,34,0,,5,8,21
Sunrise Police Dept,FL,12,90274,265,2,,22,112,129
Suwannee County Sheriff Department,FL,12,,107,3,,7,7,90
Sweetwater Police Dept,FL,12,20753,68,0,,3,16,49
Tallahassee Police Dept,FL,12,188714,1398,11,,160,387,840
Tampa Police Dept,FL,12,351314,2097,28,,78,580,1411
Tarpon Springs Police Dept,FL,12,23720,100,1,,9,24,66
Tavares Police Dept,FL,12,14337,55,1,,0,3,51
Temple Terrace Police Dept,FL,12,25379,71,0,,6,19,46
Titusville Police Dept,FL,12,43989,328,3,,32,72,221
Venice Police Dept,FL,12,21151,37,0,,3,4,30
Vero Beach Police Dept,FL,12,15621,48,1,,9,6,32
Village Of Pinecrest,FL,12,19092,16,0,,0,4,12
Volusia County Sheriff Department,FL,12,1256,628,9,,72,76,471
Wakulla County Sheriff Department,FL,12,154,77,0,,10,4,63
Walton County Sheriff Department,FL,12,344,172,3,,10,4,155
Wellington,FL,12,59298,126,0,,17,27,82
West Melbourne Police Dept,FL,12,19418,48,1,,1,11,35
West Palm Beach Police Dept,FL,12,102510,701,15,,29,281,376
Weston,FL,12,68369,47,2,,5,4,36
Wilton Manors Police Dept,FL,12,12110,79,0,,3,39,37
